image_path,source,dish,label,all_labels,n_labels,group,split
MedGR Dataset/DatasetForAIDev/tiramisu/image_0.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_1.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_2.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_3.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_4.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_5.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_6.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_7.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_8.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_9.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_0,val
MedGR Dataset/DatasetForAIDev/tiramisu/image_10.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_11.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_12.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_13.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_14.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_15.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_16.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_17.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_18.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_19.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_1,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_20.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_21.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_22.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
MedGR Dataset/DatasetForAIDev/tiramisu/image_23.npy,medgr,tiramisu,tiramisu,tiramisu,1,medgr/tiramisu/bucket_2,train
