fold,split,source,n
0,test,medgr,5555
0,test,odin,356
0,test,vippstar,2311
0,train,medgr,11118
0,train,odin,679
0,train,vippstar,4633
0,val,medgr,1928
0,val,odin,125
0,val,vippstar,850
1,test,medgr,5521
1,test,odin,352
1,test,vippstar,2344
1,train,medgr,11152
1,train,odin,683
1,train,vippstar,4600
1,val,medgr,1928
1,val,odin,125
1,val,vippstar,850
2,test,medgr,5597
2,test,odin,327
2,test,vippstar,2289
2,train,medgr,11076
2,train,odin,708
2,train,vippstar,4655
2,val,medgr,1928
2,val,odin,125
2,val,vippstar,850
holdout_final,test,medgr,1981
holdout_final,test,odin,148
holdout_final,test,vippstar,874
