backbone,fold,top1,top3,top5
resnet50,0,0.7058,0.8607,0.911
resnet50,1,0.7117,0.856,0.9016
resnet50,2,0.7174,0.856,0.9007
resnet50,avg,0.7117,0.8576,0.9044
efficientnet_b3,0,0.7078,0.8618,0.9077
efficientnet_b3,1,0.677,0.8397,0.8885
efficientnet_b3,2,0.6592,0.8164,0.8721
efficientnet_b3,avg,0.6813,0.8393,0.8894
mobilenet_v3_large,0,0.747,0.8782,0.9148
mobilenet_v3_large,1,0.7243,0.8824,0.9177
mobilenet_v3_large,2,0.7237,0.863,0.9022
mobilenet_v3_large,avg,0.7317,0.8745,0.9115
densenet121,0,0.7715,0.8983,0.9336
densenet121,1,0.7499,0.8918,0.9286
densenet121,2,0.7578,0.8929,0.9269
densenet121,avg,0.7597,0.8943,0.9297
